Date_Vente,Marque,Modèle,Année,Km,Prix Vente TTC,Prix Neuf Est.,Jours en Stock,Facture
13/06/2025,O2 FEEL,,2022,3800.0,842.0,2399.0,85,1000008
19/06/2025,O2 FEEL,,2021,0.0,988.0,2099.0,91,1000010
03/12/2025,NEOMOUV,,2024,575.0,406.0,1849.0,6,1000055
16/04/2026,LAPIERRE,,2025,4.0,1699.0,2699.0,7,1000088
07/05/2026,CONWAY,CAIRON T 2.0 625 28/50 DIAM.9SP RED/BL,2022,0,1599.0,3099.0,2,1000102
12/05/2026,CONWAY,CAIRON C2.0 62529/49 DIAM. 9SP BL/TURQ.,2023,0,1999.0,3499.0,15,1000104
