Marque,Année_Velo,Kilométrage,Prix Vente (€),Prix Neuf (€),Année de la vente,Mois de la vente,Age du vélo,Décôte/neuf (%),Lien,Source,Date_Scan
Rose,2023,0,2049.0,4247.0,2026,May,3,51.8,https://upway.fr/products/rose-rose-backroad-grx-rx810-di2-1x11-rr6dz7,Upway,14/05/2026
Ktm,2020,0,1399.0,2735.0,2026,May,6,48.8,https://upway.fr/products/ktm-strada-20-rr6hg4,Upway,14/05/2026
Rose,2023,0,1749.0,3569.0,2026,May,3,51.0,https://upway.fr/products/rose-rose-backroad-grx-rx810-1x11-rr6hh0,Upway,18/05/2026
Bianchi,2023,0,1499.0,2403.0,2026,May,3,37.6,https://upway.fr/products/bianchi-via-nirone-7-allroad-rr6gg7,Upway,18/05/2026
Ktm,2020,0,1349.0,2735.0,2026,May,6,50.7,https://upway.fr/products/ktm-strada-20-rr6hg4,Upway,18/05/2026
Cube,2023,0,1899.0,3389.0,2026,May,3,44.0,https://upway.fr/products/cube-nuroad-c62-slx-rr5nb2,Upway,18/05/2026
Specialized,2023,0,1449.0,2935.0,2026,May,3,50.6,https://upway.fr/products/specialized-diverge-comp-e5-rr6hh3,Upway,18/05/2026
Rose,2022,0,2299.0,3926.0,2026,May,4,41.4,https://upway.fr/products/rose-backroad-plus-rr4ls3,Upway,18/05/2026
Specialized,2023,0,2099.0,4921.0,2026,May,3,57.3,https://upway.fr/products/specialized-allez-custom-rr2mp5,Upway,18/05/2026
Cannondale,2022,0,1499.0,2949.0,2026,May,4,49.2,https://upway.fr/products/cannondale-topstone-carbon-4-rr4ls9,Upway,18/05/2026
Felt,2020,0,1549.0,3224.0,2026,May,6,52.0,https://upway.fr/products/felt-breed-20-rr6hj5,Upway,18/05/2026
Canyon,2023,0,1449.0,2141.0,2026,May,3,32.3,https://upway.fr/products/canyon-grailon-cf-7-rr6hh5,Upway,18/05/2026
Rose,2023,0,1649.0,2609.0,2026,May,3,36.8,https://upway.fr/products/rose-backroad-plus-grx-rx600-rr6fb2,Upway,18/05/2026
Bergamont,2025,0,1149.0,2294.0,2026,May,1,49.9,https://upway.fr/products/bergamont-grandurance-6-fmn-rr6hr2,Upway,18/05/2026
Cube,2025,0,1149.0,1591.0,2026,May,1,27.8,https://upway.fr/products/cube-nuroad-pro-fe-rr6fg3,Upway,18/05/2026
Marin,2026,0,999.0,1099.0,2026,May,0,9.1,,EBR Ventes,21/05/2026
Marin,2026,0,999.0,1099.0,2026,May,0,9.1,,EBR Ventes,21/05/2026
Welt,2025,0,849.0,949.0,2026,May,1,10.5,https://mint-bikes.com/products/welt-stroke-2025-l,Mint,25/05/2026
Bmc,2024,0,3149.0,5999.0,2026,May,2,47.5,https://mint-bikes.com/products/bmc-urs-01-four,Mint,25/05/2026
Orbea,2020,0,999.0,1799.0,2026,May,6,44.5,https://mint-bikes.com/products/orbea-terra-h40,Mint,25/05/2026
Wilier,2022,0,1649.0,2600.0,2026,May,4,36.6,https://mint-bikes.com/products/wilier-triestina-jaroon,Mint,25/05/2026
Colnago,2025,0,3899.0,4499.0,2026,May,1,13.3,https://mint-bikes.com/products/colnago-g4-x-2025-t-52-copie,Mint,25/05/2026
Bmc,2024,0,2149.0,3799.0,2026,May,2,43.4,https://mint-bikes.com/products/bmc-urs-three,Mint,25/05/2026
Bmc,2022,0,1649.0,2199.0,2026,May,4,25.0,https://mint-bikes.com/products/bmc-urs-al-two,Mint,25/05/2026
3t,2022,0,2299.0,5799.0,2026,May,4,60.4,https://mint-bikes.com/products/3t-exploro-race-max-ekar-13,Mint,25/05/2026
Cannondale,2024,0,1949.0,3999.0,2026,May,2,51.3,https://mint-bikes.com/products/cannondale-supersix-evo-cx,Mint,25/05/2026
3t,2022,0,2299.0,5799.0,2026,May,4,60.4,https://mint-bikes.com/products/3t-exploro-racemax-ekar-2022,Mint,25/05/2026
Bmc,2025,0,1779.0,2499.0,2026,May,1,28.8,https://mint-bikes.com/products/bmc-urs-al-one-2025,Mint,25/05/2026
Giant,2024,0,2949.0,7599.0,2026,May,2,61.2,https://mint-bikes.com/products/giant-revolt-x-advanced-pro-0-2024-t-m,Mint,25/05/2026
Megamo,2026,0,899.0,999.0,2026,May,0,10.0,https://mint-bikes.com/products/megamo-jakar-base,Mint,25/05/2026
Orbea,2025,0,2799.0,3999.0,2026,May,1,30.0,https://mint-bikes.com/products/orbea-terra-m35team,Mint,25/05/2026
Marin,2025,0,799.0,1099.0,2026,May,1,27.3,,EBR Ventes,29/05/2026
Marin,2025,0,799.0,1099.0,2026,May,1,27.3,,EBR Ventes,29/05/2026
Rose,2023,0,2399.0,4599.0,2026,June,3,47.8,https://upway.fr/products/rose-backroad-plus-grx-rx600-rr3gy4,Upway,01/06/2026
Kona,2023,0,1199.0,2532.0,2026,June,3,52.6,https://upway.fr/products/kona-rove-nrb-rr7hf8,Upway,01/06/2026
Rondo,2022,0,1249.0,2519.0,2026,June,4,50.4,https://upway.fr/products/rondo-ruut-al-1-rr6dy2,Upway,01/06/2026
Bianchi,2023,0,1249.0,2019.0,2026,June,3,38.1,https://upway.fr/products/bianchi-via-nirone-7-allroad-rr6gg7,Upway,01/06/2026
Cube,2023,0,1449.0,2184.0,2026,June,3,33.7,https://upway.fr/products/cube-cross-race-pro-rr7xc7,Upway,01/06/2026
Kellys,2023,0,849.0,1648.0,2026,June,3,48.5,https://upway.fr/products/kellys-arc-50-rr7hd8,Upway,01/06/2026
Trek,2023,0,2399.0,4602.0,2026,June,3,47.9,https://upway.fr/products/trek-fx-sport-6-carbon-rr6hj0,Upway,01/06/2026
Wilier,2023,0,1199.0,2903.0,2026,June,3,58.7,https://upway.fr/products/wilier-garda-rim-rr4tr0,Upway,01/06/2026
Basso,2023,0,2099.0,3400.0,2026,June,3,38.3,https://upway.fr/products/basso-tera-gravel-grx-600-rr6wu1,Upway,01/06/2026
Orbea,2022,0,2449.0,4899.0,2026,June,4,50.0,https://upway.fr/products/orbea-orca-m20i-team-rr7hf5,Upway,01/06/2026
Bulls,2023,0,999.0,1973.0,2026,June,3,49.4,https://upway.fr/products/bulls-daily-grinder-2-rr7ej2,Upway,01/06/2026
Stevens,2024,0,1899.0,4159.0,2026,June,2,54.3,https://upway.fr/products/stevens-prestige-rr6hk8,Upway,01/06/2026
Wilier,2023,0,1399.0,2100.0,2026,June,3,33.4,https://upway.fr/products/wilier-jareen-grx-2x10-rr7yt1,Upway,01/06/2026
Cannondale,2021,0,1199.0,2399.0,2026,June,5,50.0,https://upway.fr/products/cannondale-caad-13-rr3lm1,Upway,01/06/2026
Ktm,2020,0,1099.0,2298.0,2026,June,6,52.2,https://upway.fr/products/ktm-strada-20-rr6hg4,Upway,01/06/2026
Cannondale,2022,0,2349.0,5199.0,2026,June,4,54.8,https://upway.fr/products/cannondale-topstone-carbon-2-l-rr1nx4,Upway,01/06/2026
Trek,2023,0,1049.0,2054.0,2026,June,3,48.9,https://upway.fr/products/trek-domane-al-4-rr7ml1,Upway,01/06/2026
Canyon,2023,0,1449.0,2672.0,2026,June,3,45.8,https://upway.fr/products/canyon-grizl-8-rr6fk2,Upway,01/06/2026
Felt,2020,0,1299.0,2709.0,2026,June,6,52.0,https://upway.fr/products/felt-breed-20-rr6hj5,Upway,01/06/2026
Bulls,2025,0,1099.0,1894.0,2026,June,1,42.0,https://upway.fr/products/bulls-grinder-4-rr7ws3,Upway,01/06/2026
Vaast,2023,0,1449.0,3163.0,2026,June,3,54.2,https://upway.fr/products/vaast-bikes-a1-650b-rival-1-rr6dq6,Upway,01/06/2026
Bottecchia,2024,0,1099.0,1899.0,2026,June,2,42.1,https://mint-bikes.com/products/bottecchia-gravel-monster,Mint,03/06/2026
Cannondale,2024,0,1899.0,3999.0,2026,June,2,52.5,https://mint-bikes.com/products/cannondale-supersix-evo-cx,Mint,03/06/2026
Focus,2023,0,1149.0,1999.0,2026,June,3,42.5,https://mint-bikes.com/products/focus-atlas-6-7-2023,Mint,03/06/2026
3t,2022,0,2149.0,5799.0,2026,June,4,62.9,https://mint-bikes.com/products/3t-exploro-race-max-ekar-13,Mint,03/06/2026
Megamo,2026,0,1329.0,1699.0,2026,June,0,21.8,https://mint-bikes.com/products/megamo-jakar,Mint,03/06/2026
Focus,2021,0,1049.0,1999.0,2026,June,5,47.5,https://mint-bikes.com/products/focus-atlas-6-7,Mint,03/06/2026
Bmc,2023,0,1649.0,2399.0,2026,June,3,31.3,https://mint-bikes.com/products/bmc-urs-al-two-xs,Mint,03/06/2026
Bmc,2022,0,1599.0,2199.0,2026,June,4,27.3,https://mint-bikes.com/products/bmc-urs-al-two,Mint,03/06/2026
Bmc,2025,0,1749.0,2499.0,2026,June,1,30.0,https://mint-bikes.com/products/bmc-urs-al-one-2025,Mint,03/06/2026
Megamo,2026,0,2039.0,2399.0,2026,June,0,15.0,https://mint-bikes.com/products/megamo-west-15-2026,Mint,03/06/2026
Megamo,2026,0,1169.0,1299.0,2026,June,0,10.0,https://mint-bikes.com/products/megamo-jakar-flat-bar,Mint,03/06/2026
Megamo,2026,0,1349.0,1699.0,2026,June,0,20.6,https://mint-bikes.com/products/megamo-jakar-30-2026-copie,Mint,03/06/2026
Wilier,2022,0,1549.0,2600.0,2026,June,4,40.4,https://mint-bikes.com/products/wilier-triestina-jaroon,Mint,03/06/2026
Megamo,2026,0,2039.0,2399.0,2026,June,0,15.0,https://mint-bikes.com/products/megamo-west-15-2026-2,Mint,03/06/2026
Cannondale,2026,0,3949.0,7799.0,2026,June,0,49.4,https://mint-bikes.com/products/cannondale-700-u-topstone-crb-1-lefty,Mint,03/06/2026
Megamo,2026,0,1169.0,1299.0,2026,June,0,10.0,https://mint-bikes.com/products/megamo-jakar-flat-bar-2026-copie,Mint,03/06/2026
Welt,2025,0,1229.0,1349.0,2026,June,1,8.9,https://mint-bikes.com/products/welt-g100,Mint,03/06/2026
Megamo,2025,0,1249.0,1899.0,2026,June,1,34.2,https://mint-bikes.com/products/megamo-jakar-20-25,Mint,03/06/2026
Megamo,2026,0,1169.0,1299.0,2026,June,0,10.0,https://mint-bikes.com/products/megamo-jakar-flat-bar-2026,Mint,03/06/2026
Specialized,2022,0,1199.0,2100.0,2026,June,4,42.9,https://mint-bikes.com/products/specialized-diverge-e5-comp-2022-t-58-250341,Mint,03/06/2026
Marin,2025,0,899.0,1399.0,2026,June,1,35.7,,EBR Ventes,05/06/2026
Marin,2025,0,899.0,1399.0,2026,June,1,35.7,,EBR Ventes,05/06/2026
Trek,2023,0,2049.0,5199.0,2026,June,3,60.6,https://upway.fr/products/trek-domane-sl-6-gen-4-rr4wd5,Upway,08/06/2026
Specialized,2023,0,2149.0,4133.0,2026,June,3,48.0,https://upway.fr/products/specialized-diverge-sport-carbon-rr8fb7,Upway,08/06/2026
Basso,2023,0,1899.0,3400.0,2026,June,3,44.1,https://upway.fr/products/basso-tera-gravel-grx-600-rr6wu1,Upway,08/06/2026
Cannondale,2022,0,1399.0,2694.0,2026,June,4,48.1,https://upway.fr/products/cannondale-topstone-1-rr0xu8,Upway,08/06/2026
Ktm,2023,0,1149.0,2241.0,2026,June,3,48.7,https://upway.fr/products/ktm-xstrada-15-pro-rr8ng8,Upway,08/06/2026
