Date_Vente,Facture,Marque,Km,Année,PA HT,Frais,PV HT,PV TTC,Marge Nette HT,Marge %,Jours Stock
12/05/2026,1000104,CONWAY,0.0,2023,1133.81,0.0,1665.83,1999.0,532.02,31.94,15
16/05/2026,1000106,KTM,0.0,2023,1821.0,0.0,2333.33,2800.0,512.33,21.96,5
16/05/2026,1000107,FOCUS,0.0,2024,2084.1,0.0,2416.67,2900.0,332.57,13.76,17
21/05/2026,1000108,KTM,0,2023,1821.0,0.0,2415.83,2899.0,594.83,24.62,10
21/05/2026,1000111,MARIN,0,2026,644.59,0.0,832.5,999.0,187.91,22.57,2
21/05/2026,1000112,MARIN,0,2025,612.59,0.0,749.17,899.0,136.58,18.23,41
25/05/2026,1000113,DECATHLON,440,2025,744.18,0.0,999.17,1199.0,254.99,25.52,7
27/05/2026,1000114,KTM,0,2023,1821.0,0.0,2415.83,2899.0,594.83,24.62,2
28/05/2026,1000115,CONWAY,0,2022,933.47,0.0,1332.5,1599.0,399.03,29.95,23
29/05/2026,1000117,MARIN,0,2025,496.59,0.0,665.83,799.0,169.24,25.42,10
