Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien,Source
13/04/2026,2026,Avril,Nouveauté,2023,112023815,104,7999,https://mint-bikes.com/products/haibike-lyke-cf-11,Nouveauté HAIBIKE Lyke CF 11 2023 815km De 1.77m à 1.87m 60.0Nm 430Wh 3 049 € Prix régulier 7 999 € 
13/04/2026,2026,Avril,Santa Cruz,2024,2024940,183,10999,https://mint-bikes.com/products/santa-cruz-heckler-xx-axs-rsv,PRIX EN BAISSE (-650€) SANTA CRUZ Heckler XX AXS RSV Carbon CC 2024 940km De 1.65m à 1.75m 85.0Nm 72
13/04/2026,2026,Avril,PRIX,2025,20252,100,4799,https://mint-bikes.com/products/megamo-flame-al-20-2025,PRIX EN BAISSE (-100€) MEGAMO Flame AL 20+ Beige et Vert 800Wh 2025 2km De 1.8m à 1.95m 100.0Nm 800W
13/04/2026,2026,Avril,PRIX,2022,620222,65,6799,https://mint-bikes.com/products/trek-e-caliber-9-6,PRIX EN BAISSE (-200€) TREK E-Caliber 9.6 2022 2km De 1.77m à 1.88m 58.0Nm 250Wh 2 299 € Prix réguli
13/04/2026,2026,Avril,MEGAMO,2024,20242,74,5999,https://mint-bikes.com/products/megamo-native-20-24,MEGAMO Native 20 Vert 2024 2km De 1.7m à 1.9m 50.0Nm 360Wh 2 599 € Prix régulier 5 999 € neuf -57% P
13/04/2026,2026,Avril,Nouveauté,2022,9752022830,136,6860,https://mint-bikes.com/products/merida-eone-sixty-975,Nouveauté MERIDA eONE-SIXTY 975 2022 830km De 1.68m à 1.8m 85.0Nm 750Wh 3 999 € Prix régulier 6 860 
13/04/2026,2026,Avril,PRIX,2023,202387,77,5237,https://mint-bikes.com/products/ktm-macina-team-xl-2023-t-xl,PRIX EN BAISSE (-150€) KTM Macina Team XL 750Wh 2023 87km De 1.92m à 2.0m 85.0Nm 750Wh 2 249 € Prix 
13/04/2026,2026,Avril,Nouveauté,2023,2023759,85,5499,https://mint-bikes.com/products/haibike-alltrail-6-l,Nouveauté HAIBIKE Alltrail 6 720 Wh 2023 759km De 1.76m à 1.87m 75.0Nm 720Wh 2 999 € Prix régulier 5
13/04/2026,2026,Avril,PRIX,2022,20221078,85,6500,https://mint-bikes.com/products/rocky-mountain-instinct-powerplay-alloy-50,PRIX EN BAISSE (-200€) ROCKY MOUNTAIN Instinct Powerplay Alloy 50 720Wh 2022 1078km De 1.75m à 1.88m
13/04/2026,2026,Avril,PRIX,2025,202025675,63,3600,https://mint-bikes.com/products/ktm-macina-race-sx-20-2025-t-xl,PRIX EN BAISSE (-350€) KTM Macina Race SX 20 2025 675km De 1.85m à 1.98m 55.0Nm 400Wh 1 849 € Prix r
13/04/2026,2026,Avril,PRIX,2020,2020290,78,6869,https://mint-bikes.com/products/rocky-mountain-instinct-powerplay-alloy-70,PRIX EN BAISSE (-450€) ROCKY MOUNTAIN Instinct Powerplay Alloy 70 672Wh 2020 290km De 1.8m à 1.88m 1
13/04/2026,2026,Avril,PRIX,2023,80002023495,90,6699,https://mint-bikes.com/products/merida-eone-sixty-8000-2023-t-l,PRIX EN BAISSE (-250€) MERIDA eONE-SIXTY 8000 2023 495km De 1.78m à 1.85m 85.0Nm 630Wh 2 649 € Prix 
